date,bpm,bpm_q,last_steps,activity_type,speed,skin_proximity,energy_exp,respiration_rate,pha,pha_q,resp_q,wearing,move_alert,cw,cwt,battery,step_calories,rest_calories,distance,step_duration,spo2,spo2_q,hta,hta_q
2023-02-15T00:08:52.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:09:03.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:09:13.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:09:23.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:09:32.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:09:43.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:09:53.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:10:03.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:10:13.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:10:23.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:10:33.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:10:42.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:10:53.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:11:03.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:11:13.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:11:22.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:11:32.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:11:43.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:11:53.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:12:02.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:12:12.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:12:23.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:12:33.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:12:42.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:12:52.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:13:03.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:13:13.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:13:22.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:13:33.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:13:43.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:13:53.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:14:02.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:14:13.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:14:23.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:14:33.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:14:42.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:14:53.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:15:03.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:15:12.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:15:23.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:15:33.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:15:43.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:15:53.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:16:02.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:16:13.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:16:23.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:16:33.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:16:42.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:16:53.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:17:03.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:17:13.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:17:22.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:17:33.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:17:43.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:17:53.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:18:02.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:18:13.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:18:23.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:18:33.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:18:42.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:18:53.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,0,0,,
2023-02-15T00:19:03.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:19:13.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:19:23.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:19:32.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:19:43.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:19:53.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:20:02.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:20:12.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:20:23.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:20:33.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:20:43.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,100,1,,
2023-02-15T00:20:52.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:21:03.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:21:13.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:21:23.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:21:32.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:21:43.000+01:00,0,0,0,7,8,0,229,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:21:53.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:22:03.000+01:00,0,0,0,7,8,0,208,0,2,0,0,4,,,,36,,,,,99,1,,
2023-02-15T00:22:12.000+01:00,0,0,0,7,8,0,187,0,2,0,0,4,,,,36,,,,,99,1,,
